Category,Difficulty,Problem,Link
Arrays & Hashing,Easy,Contains Duplicate,https://leetcode.com/problems/contains-duplicate/
Arrays & Hashing,Easy,Valid Anagram,https://leetcode.com/problems/valid-anagram/
Arrays & Hashing,Easy,Two Sum,https://leetcode.com/problems/two-sum/
Arrays & Hashing,Medium,Group Anagrams,https://leetcode.com/problems/group-anagrams/
Arrays & Hashing,Medium,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/
Arrays & Hashing,Medium,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/
Arrays & Hashing,Medium,Encode and Decode Strings,https://leetcode.com/problems/encode-and-decode-strings/
Arrays & Hashing,Medium,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/
Two Pointers,Easy,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/
Two Pointers,Medium,3Sum,https://leetcode.com/problems/3sum/
Two Pointers,Medium,Container with Most Water,https://leetcode.com/problems/container-with-most-water/
Sliding Window,Easy,Best Time to Buy & Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/
Sliding Window,Medium,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/
Sliding Window,Medium,Longest Repeating Character Replacement,https://leetcode.com/problems/longest-repeating-character-replacement/
Sliding Window,Hard,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/
Stack,Easy,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/
Binary Search,Medium,Search Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/
Binary Search,Medium,Find Minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/
Linked List,Easy,Reverse Linked List,https://leetcode.com/problems/reverse-linked-list/
Linked List,Easy,Merge Two Linked Lists,https://leetcode.com/problems/merge-two-sorted-lists/
Linked List,Medium,Reorder List,https://leetcode.com/problems/reorder-list/
Linked List,Medium,Remove Nth Node from End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/
Linked List,Easy,Linked List Cycle,https://leetcode.com/problems/linked-list-cycle/
Linked List,Hard,Merge K Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/
Trees,Easy,Invert Binary Tree,https://leetcode.com/problems/invert-binary-tree/
Trees,Easy,Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/
Trees,Easy,Same Tree,https://leetcode.com/problems/same-tree/
Trees,Easy,Subtree of Another Tree,https://leetcode.com/problems/subtree-of-another-tree/
Trees,Easy,Lowest Common Ancestor of a BST,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/
Trees,Medium,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/
Trees,Medium,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/
Trees,Medium,Kth Smallest Element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst/
Trees,Medium,Construct Tree from Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/
Trees,Hard,Binary Tree Max Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/
Trees,Hard,Serialize and Deserialize Binary Tree,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/
Tries,Medium,Implement Trie,https://leetcode.com/problems/implement-trie-prefix-tree/
Tries,Medium,Design Add and Search Word Data Structure,https://leetcode.com/problems/design-add-and-search-words-data-structure/
Tries,Hard,Word Search II,https://leetcode.com/problems/word-search-ii/
Heap / Priority Queue,Hard,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream/
Backtracking,Medium,Combination Sum,https://leetcode.com/problems/combination-sum/
Backtracking,Medium,Word Search,https://leetcode.com/problems/word-search/
Graphs,Medium,Number of Islands,https://leetcode.com/problems/number-of-islands/
Graphs,Medium,Clone Graph,https://leetcode.com/problems/clone-graph/
Graphs,Medium,Pacific Atlantic Waterflow,https://leetcode.com/problems/pacific-atlantic-water-flow/
Graphs,Medium,Course Schedule,https://leetcode.com/problems/course-schedule/
Graphs,Medium,Number of Connected Components in Graph,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/
Graphs,Medium,Graph Valid Tree,https://leetcode.com/problems/graph-valid-tree/
Advanced Graphs,Hard,Alien Dictionary,https://leetcode.com/problems/alien-dictionary/
1-D Dynamic Programming,Easy,Climbing Stairs,https://leetcode.com/problems/climbing-stairs/
1-D Dynamic Programming,Medium,House Robber,https://leetcode.com/problems/house-robber/
